redondez,esfericidad,finalCell3,finalCell4,finalCell5,finalCell6,finalCell7,finalCell8,finalCell9,finalCell10,finalCell11,finalCell12,finalCell13,finalCell14,finalCell15,finalCell16,finalCell17,finalCell18,finalCell19,finalCell20,finalCell21,finalCell22,finalCell23,finalCell24,finalCell25,finalCell26,finalCell27,finalCell28,finalCell29,finalCell30,finalCell31,finalCell32,finalCell33,finalCell34,finalCell35,finalCell36,finalCell37,finalCell38,finalCell39,finalCell40,finalCell41,finalCell42
0.504956484,0.61079067,0.65056554,0.821189502,0.859092957,0.642044656,0.963791315,0.881595433,0.997379476,0.884261673,0.986703191,0.910746587,0.988913799,0.989822576,0.935937195,0.998977236,0.997161226,0.931192972,0.941323772,0.897882568,0.878400426,0.964007275,0.47150629,0.877190974,0.884848687,0.973049211,0.955185111,0.989963281,0.895360479,0.90028818,0.925701458,0.875119145,0.973724685,0.790522072,0.998022064,0.947245207,0.945421169,0.959415977,0.900520203,0.820342043,0.924489466,0.843179673
0.311809897,0.741669834,0.544652042,0.896984254,0.995317161,0.995866718,0.713462307,0.940784629,0.992716565,0.867140152,0.848778758,0.88446327,0.932819686,0.969067633,0.855242141,0.936551606,0.873508391,0.994142383,0.912062752,0.915074366,0.897813805,0.900180184,0.99990099,0.978734081,0.935681023,0.997800728,0.989411451,0.99149293,0.537243931,0.999993551,0.95082989,0.946432939,0.969309575,0.999099861,0.988870322,0.999299624,0.989456451,0.8700921,0.911456795,0.932934527,0.850629298,0.985574887
0.98,0.908187628,0.311819348,0.782260519,0.999999997,0.880032916,0.94326646,0.909273583,0.942720778,0.97741066,0.991518222,0.969518897,0.908012618,0.973459345,0.892578953,0.946749163,0.999954697,0.828904677,0.946909709,0.997605657,0.592942156,0.964625723,0.999538001,0.999357957,0.997283244,0.851278413,0.995566795,0.992639638,0.793146969,0.991602456,0.943669262,0.897865809,0.928444861,0.964265878,0.98897642,0.976440857,0.989896803,0.999996271,0.996310152,0.960545165,0.987944561,0.987377
0.220997289,0.704324305,0.297163197,0.671268064,0.998483047,0.999149764,0.941818532,0.99995071,0.809026643,0.789098993,0.909980919,0.977012723,0.97135434,0.966581202,0.998102739,0.890443773,0.99144515,0.881768503,0.992573457,0.987161046,0.999266578,0.997708408,0.902120821,0.864555618,0.950299875,0.927108384,0.937425725,0.990676066,0.949452576,0.94731978,0.883387585,0.995435133,0.957491004,0.999951307,0.990559257,0.999879478,0.450241755,0.993728485,0.956122876,0.952211965,0.696126242,0.99015569
0.53413707,0.573302746,0.698897838,0.664307639,0.998093835,0.912413998,0.937799409,0.90380543,0.99158162,0.947179612,0.967442025,0.999487593,0.81312872,0.968924954,0.996962248,0.929616997,0.868509702,0.598409797,0.999787566,0.999771034,0.696806508,0.859035874,0.887362906,0.990742534,0.997621219,0.999991042,0.928034161,0.978990537,0.996909508,0.970701515,0.869451129,0.950644368,0.91831774,0.936437955,0.985607576,0.762045639,0.99771024,0.966279637,0.864580075,0.979335393,0.999582363,0.935026264
0.1842895,0.744346082,0.447463124,0.947153281,0.30140781,0.999849521,0.920295953,0.999932322,0.851631433,0.956487283,0.933238312,0.995634817,0.962248952,0.946455529,0.997959684,0.942559065,0.924776456,0.992452649,0.891002183,0.926301199,0.996425531,0.847022497,0.668949575,0.765298728,0.966330061,0.937020708,0.375118343,0.944273988,0.940613265,0.930248196,0.919184387,0.927236311,0.968947779,0.998804701,0.9980397,0.892556967,0.525743645,0.961440001,0.706445766,0.98840781,0.948599331,0.926500099
0.347545296,0.608262658,0.668498467,0.592367442,0.94240215,0.894634116,0.970083853,0.847574153,0.996635196,0.996742279,0.77453674,0.998369235,0.886167868,0.908409291,0.833104308,0.897335361,0.974904607,0.987428308,0.932919965,0.97917366,0.995660921,0.998332204,0.99805465,0.981948504,0.999884713,0.965654811,0.736219966,0.954487271,0.959779631,0.982270097,0.80399088,0.990731577,0.93697241,0.975970912,0.995791334,0.911531734,0.954283869,0.999927515,0.996366727,0.991619833,0.88833318,0.45131182
0.9,0.932861567,0.257943604,0.998764203,0.990986607,0.905318766,0.991832802,0.999687614,0.999149592,0.998174275,0.516490553,0.97465549,0.879159039,0.905351769,0.807768898,0.999371909,0.713184631,0.95638243,0.986872793,0.992598791,0.97633265,0.998804115,0.994344859,0.973101793,0.999939835,0.969659823,0.945986465,0.941340445,0.787662164,0.642075768,0.967778153,0.991178878,0.990024512,0.984605399,0.997697788,0.650837879,0.965310202,0.981994997,0.992942352,0.832397675,0.909464309,0.953749648
0.225993767,0.497636527,0.765942037,0.972179775,0.986094906,0.93201845,0.973940563,0.990524577,0.980864011,0.949421662,0.819439864,0.997566038,0.999034739,0.990188155,0.915169103,0.99998618,0.999030348,0.657545111,0.922693836,0.999803541,0.878623565,0.648897847,0.952850992,0.955769177,0.84073742,0.937643326,0.997284326,0.725786014,0.988416265,0.802932942,0.905814702,0.989510563,0.999958662,0.975606469,0.982750222,0.952133008,0.694222426,0.973584384,0.999330582,0.95064346,0.968720506,0.997316946
0.311469316,0.506611466,0.72349905,0.976442318,0.869514924,0.87308361,0.899225392,0.930588186,0.809599247,0.998270797,0.937833308,0.966740304,0.916804528,0.698346204,0.98922528,0.99321819,0.96748218,0.999477292,0.99844043,0.988095001,0.999173514,0.983451934,0.863482814,0.994077217,0.804478226,0.983329853,0.914829019,0.822114178,0.997922482,0.999557174,0.996147715,0.944372468,0.996721106,0.977378967,0.919767219,0.998072323,0.978978502,0.977928059,0.993153004,0.87543097,0.954534612,0.998276578
